序号,站点KKS编码        ,标签点KKS编码      ,数据类型 ,工程单位         ,数据源地址       ,扫描周期         ,量程范围之下限   ,量程范围之上限   ,压缩偏移量    ,最大压缩时间,存储标识,描述信息                        
0,BCDC,BC_Fir_1_#1QALLJLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1气氨流量计流量
1,BCDC,BC_Fir_1_#1QALLJQQDTJFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机至#1气氨流量计前气动调节阀开度
2,BCDC,BC_Fir_1_#1XSFJYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1稀释风机运行状态
3,BCDC,BC_Fir_1_#1XSFL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1SCR稀释风量
4,BCDC,BC_Fir_1_#1YACGQXLQTHLJC,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨储罐区泄漏气体含量检测
5,BCDC,BC_Fir_1_#1YAWSCGYL1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨卧式储罐压力1
6,BCDC,BC_Fir_1_#1YAWSCGYL2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨卧式储罐压力2
7,BCDC,BC_Fir_1_#1YAWSCGYW,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨卧式储罐液位
8,BCDC,BC_Fir_1_#1ZFQCKGQAYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1蒸发器出口管气氨压力
9,BCDC,BC_Fir_1_#1ZFQZQRKFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1蒸发器蒸汽入口阀开度
10,BCDC,BC_Fir_1_#2QALLJLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2气氨流量计流量
11,BCDC,BC_Fir_1_#2QALLJQQDTJFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机至#2气氨流量计前气动调节阀开度
12,BCDC,BC_Fir_1_#2XSFJYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2稀释风机运行状态
13,BCDC,BC_Fir_1_#2XSFL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2SCR稀释风量
14,BCDC,BC_Fir_1_#2YACGQXLQTHLJC,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨储罐区泄漏气体含量检测
15,BCDC,BC_Fir_1_#2YAWSCGYL1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨卧式储罐压力1
16,BCDC,BC_Fir_1_#2YAWSCGYL2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨卧式储罐压力2
17,BCDC,BC_Fir_1_#2YAWSCGYW,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨卧式储罐液位
18,BCDC,BC_Fir_1_#2ZFQCKGQAYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2蒸发器出口管气氨压力
19,BCDC,BC_Fir_1_#2ZFQZQRKFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2蒸发器蒸汽入口阀开度
20,BCDC,BC_Fir_1_1XSTXHJYYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机吸收塔循环浆液泵1运行状态
21,BCDC,BC_Fir_1_2XSTXHJYYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机吸收塔循环浆液泵2运行状态
22,BCDC,BC_Fir_1_3XSTXHJYYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机吸收塔循环浆液泵3运行状态
23,BCDC,BC_Fir_1_ACSCRFYQCKYQNH3HL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口烟气NH3含量
24,BCDC,BC_Fir_1_ACSCRFYQCKYQNOXHL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口烟气NOx含量
25,BCDC,BC_Fir_1_ACSCRFYQCKYQO2HL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口烟气O2含量
26,BCDC,BC_Fir_1_ACSCRFYQCKYQWD1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口净烟气温度1
27,BCDC,BC_Fir_1_ACSCRFYQCKYQWD2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口净烟气温度2
28,BCDC,BC_Fir_1_ACSCRFYQCKYQWD3,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口净烟气温度3
29,BCDC,BC_Fir_1_ACSCRFYQCKYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器出口烟气压力
30,BCDC,BC_Fir_1_ACSCRFYQJAQYATYND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器加氨区域氨逃逸浓度
31,BCDC,BC_Fir_1_ACSCRFYQRKO2HL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器入口烟气O2含量
32,BCDC,BC_Fir_1_ACSCRFYQRKYQNOXHL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器入口烟气NOx含量
33,BCDC,BC_Fir_1_ACSCRFYQRKYQWD1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器入口烟气温度1
34,BCDC,BC_Fir_1_ACSCRFYQRKYQWD2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器入口烟气温度2
35,BCDC,BC_Fir_1_ACSCRFYQRKYQWD3,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器入口烟气温度3
36,BCDC,BC_Fir_1_ACSCRFYQRKYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧SCR反应器入口烟气压力
37,BCDC,BC_Fir_1_ACTLXL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机A侧脱硝效率
38,BCDC,BC_Fir_1_BCSCRFYQCKYQNH3HL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口烟气NH3含量
39,BCDC,BC_Fir_1_BCSCRFYQCKYQNOXHL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口烟气NOx含量
40,BCDC,BC_Fir_1_BCSCRFYQCKYQO2HL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口烟气O2含量
41,BCDC,BC_Fir_1_BCSCRFYQCKYQWD1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口净烟气温度1
42,BCDC,BC_Fir_1_BCSCRFYQCKYQWD2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口净烟气温度2
43,BCDC,BC_Fir_1_BCSCRFYQCKYQWD3,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口净烟气温度3
44,BCDC,BC_Fir_1_BCSCRFYQCKYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器出口烟气压力
45,BCDC,BC_Fir_1_BCSCRFYQJAQYATYND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器加氨区域氨逃逸浓度
46,BCDC,BC_Fir_1_BCSCRFYQRKO2HL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器入口烟气O2含量
47,BCDC,BC_Fir_1_BCSCRFYQRKYQNOXHL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器入口烟气NOx含量
48,BCDC,BC_Fir_1_BCSCRFYQRKYQWD1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器入口烟气温度1
49,BCDC,BC_Fir_1_BCSCRFYQRKYQWD2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器入口烟气温度2
50,BCDC,BC_Fir_1_BCSCRFYQRKYQWD3,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器入口烟气温度3
51,BCDC,BC_Fir_1_BCSCRFYQRKYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧SCR反应器入口烟气压力
52,BCDC,BC_Fir_1_BCTLXL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机B侧脱硝效率
53,BCDC,BC_Fir_1_CQNSJGDY,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机澄清、浓缩泥浆高度仪
54,BCDC,BC_Fir_1_CSSSBCKPFLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机出水输泵出口排放流量
55,BCDC,BC_Fir_1_CSSSBCKYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机出水输送泵出口浊度
56,BCDC,BC_Fir_1_CSXPH,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机出水箱PH
57,BCDC,BC_Fir_1_GLXL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机锅炉负荷
58,BCDC,BC_Fir_1_GLZFL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机锅炉总风量
59,BCDC,BC_Fir_1_GYISMGYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机工艺水母管压力
60,BCDC,BC_Fir_1_SCRCHQKQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机SCR吹灰器空气(蒸汽)压力
61,BCDC,BC_Fir_1_SJQNSRKTJFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机水解器尿素入口调节阀开度
62,BCDC,BC_Fir_1_SJQNSRYSSGDYL1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机水解器尿素溶液输送管道压力1
63,BCDC,BC_Fir_1_TLCKFCND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口粉尘浓度
64,BCDC,BC_Fir_1_TLCKNOXND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口NOX浓度
65,BCDC,BC_Fir_1_TLCKO2ND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口O2浓度
66,BCDC,BC_Fir_1_TLCKSO2ND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口SO2浓度
67,BCDC,BC_Fir_1_TLCKYQLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口烟气流量
68,BCDC,BC_Fir_1_TLCKYQWD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口烟气温度
69,BCDC,BC_Fir_1_TLCKYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫出口烟气压力（CEMS）
70,BCDC,BC_Fir_1_TLGDDYJXDL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫6kV(10kV)各段电源进线电流
71,BCDC,BC_Fir_1_TLGDMXDY,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫6kV(10kV)各段母线母线电压
72,BCDC,BC_Fir_1_TLJJYGJLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫剂浆液供浆流量
73,BCDC,BC_Fir_1_TLJJYGJMD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫剂浆液供浆密度
74,BCDC,BC_Fir_1_TLJJYGJTJFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫剂浆液供浆调节阀开度
75,BCDC,BC_Fir_1_TLRKYQFCND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气粉尘浓度
76,BCDC,BC_Fir_1_TLRKYQLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气流量
77,BCDC,BC_Fir_1_TLRKYQO2ND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气O2浓度
78,BCDC,BC_Fir_1_TLRKYQSO2ND,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气SO2浓度
79,BCDC,BC_Fir_1_TLRKYQWD1,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气温度1
80,BCDC,BC_Fir_1_TLRKYQWD2,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气温度2
81,BCDC,BC_Fir_1_TLRKYQWD3,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气温度3
82,BCDC,BC_Fir_1_TLRKYQYL1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气压力1
83,BCDC,BC_Fir_1_TLRKYQYL2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气压力2
84,BCDC,BC_Fir_1_TLRKYQYL3,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫入口烟气压力3
85,BCDC,BC_Fir_1_TLXL,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫效率
86,BCDC,BC_Fir_1_TLZLXTMXDY,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机脱硫保安段母线电压
87,BCDC,BC_Fir_1_XSTCWQCXSYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔除雾器冲洗水压力
88,BCDC,BC_Fir_1_XSTCWQHYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔除雾器后烟气压力
89,BCDC,BC_Fir_1_XSTCWQQYQYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔除雾器前烟气压力
90,BCDC,BC_Fir_1_XSTMD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔密度
91,BCDC,BC_Fir_1_XSTPHZ,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔pH值
92,BCDC,BC_Fir_1_XSTXHJYYXDL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔循环浆液泵电流
93,BCDC,BC_Fir_1_XSTYW1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔液位1
94,BCDC,BC_Fir_1_XSTYW2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔液位2
95,BCDC,BC_Fir_1_XSTYW3,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机吸收塔液位3
96,BCDC,BC_Fir_1_dsplBear1stHorRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机1#瓦相对振动（水平）
97,BCDC,BC_Fir_1_dsplBear1stMixRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机1#瓦相对振动（复合）
98,BCDC,BC_Fir_1_dsplBear1stVerRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机1#瓦相对振动（垂直）
99,BCDC,BC_Fir_1_dsplBear2ndHorRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机2#瓦相对振动（水平）
100,BCDC,BC_Fir_1_dsplBear2ndMixRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机2#瓦相对振动（复合）
101,BCDC,BC_Fir_1_dsplBear2ndVerRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机2#瓦相对振动（垂直）
102,BCDC,BC_Fir_1_dsplBear3rdHorRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机3#瓦相对振动（水平）
103,BCDC,BC_Fir_1_dsplBear3rdMixRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机3#瓦相对振动（复合）
104,BCDC,BC_Fir_1_dsplBear3rdVerRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机3#瓦相对振动（垂直）
105,BCDC,BC_Fir_1_dsplBear4thHorRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机4#瓦相对振动（水平）
106,BCDC,BC_Fir_1_dsplBear4thMixRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机4#瓦相对振动（复合）
107,BCDC,BC_Fir_1_dsplBear4thVerRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机4#瓦相对振动（垂直）
108,BCDC,BC_Fir_1_dsplBear5thHorRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机5#瓦相对振动（水平）
109,BCDC,BC_Fir_1_dsplBear5thMixRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机5#瓦相对振动（复合）
110,BCDC,BC_Fir_1_dsplBear5thVerRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机5#瓦相对振动（垂直）
111,BCDC,BC_Fir_1_dsplBear6thHorRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机6#瓦相对振动（水平）
112,BCDC,BC_Fir_1_dsplBear6thMixRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机6#瓦相对振动（复合）
113,BCDC,BC_Fir_1_dsplBear6thVerRltv,float,um,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机6#瓦相对振动（垂直）
114,BCDC,BC_Fir_1_dsplTbnA,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机轴向位移A
115,BCDC,BC_Fir_1_dsplTbnB,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机轴向位移B
116,BCDC,BC_Fir_1_exDifHPTA,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机高压缸胀差A
117,BCDC,BC_Fir_1_exDifHPTB,float,mm,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机高压缸胀差B
118,BCDC,BC_Fir_1_freqI,float,Hz,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机发电机频率
119,BCDC,BC_Fir_1_iCirAP,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机循环水泵A电流
120,BCDC,BC_Fir_1_iCirBP,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机循环水泵B电流
121,BCDC,BC_Fir_1_iCndPA,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机#1凝结水泵电流
122,BCDC,BC_Fir_1_iCndPB,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机#2凝结水泵电流
123,BCDC,BC_Fir_1_iCndPC,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机#3凝结水泵电流
124,BCDC,BC_Fir_1_iFDA,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A侧送风机电流
125,BCDC,BC_Fir_1_iFDB,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B侧送风机电流
126,BCDC,BC_Fir_1_iIDAA,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A侧引风机电流
127,BCDC,BC_Fir_1_iIDAB,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B侧引风机电流
128,BCDC,BC_Fir_1_iMDFPA,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机#1电动给水泵电流
129,BCDC,BC_Fir_1_iMDFPB,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机#2电动给水泵电流
130,BCDC,BC_Fir_1_iMillA,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A磨煤机电流
131,BCDC,BC_Fir_1_iMillB,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B磨煤机电流
132,BCDC,BC_Fir_1_iMillC,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机C磨煤机电流
133,BCDC,BC_Fir_1_iMillD,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机D磨煤机电流
134,BCDC,BC_Fir_1_iMillE,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机E磨煤机电流
135,BCDC,BC_Fir_1_iMillF,float,A,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机F磨煤机电流
136,BCDC,BC_Fir_1_p1stHPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机1号高加抽汽压力
137,BCDC,BC_Fir_1_p1stLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机5号低加抽汽压力
138,BCDC,BC_Fir_1_p2ndHPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机2号高加抽汽压力
139,BCDC,BC_Fir_1_p2ndLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机6号低加抽汽压力
140,BCDC,BC_Fir_1_p3rdLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机7号低加抽汽压力
141,BCDC,BC_Fir_1_p4stLPHOt,float,℃,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机8号低加抽汽压力
142,BCDC,BC_Fir_1_pBlrA,float,Pa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机炉膛负压A
143,BCDC,BC_Fir_1_pBlrB,float,Pa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机炉膛负压B
144,BCDC,BC_Fir_1_pDea,float,MPa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机除氧器压力
145,BCDC,BC_Fir_1_pDrum,float,Mpa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机汽包压力（分离器压力）
146,BCDC,BC_Fir_1_pExhStm,float,kPa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机排汽压力
147,BCDC,BC_Fir_1_pHRhtStm,float,Mpa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机机侧再热汽压力
148,BCDC,BC_Fir_1_pLOil,float,Mpa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机润滑油压力
149,BCDC,BC_Fir_1_pMnStm,float,Mpa,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机机测主汽压力
150,BCDC,BC_Fir_1_pwActiveGen,float,MW,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机机组有功
151,BCDC,BC_Fir_1_pwAeactiveGb,float,MW,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机高厂变有功功率
152,BCDC,BC_Fir_1_pwAeactiveMb,float,MW,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机主变高压侧有功
153,BCDC,BC_Fir_1_pwReactiveGen,float,MW,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机机组无功
154,BCDC,BC_Fir_1_pwReactiveMb,float,MW,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机主变高压侧无功
155,BCDC,BC_Fir_1_ratFDA,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A侧送风机动叶开度
156,BCDC,BC_Fir_1_ratFDB,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B侧送风机动叶开度
157,BCDC,BC_Fir_1_ratIDAA,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A侧引风机动叶开度
158,BCDC,BC_Fir_1_ratIDAB,float,%,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B侧引风机动叶开度
159,BCDC,BC_Fir_1_rotSpdTbn,float,RPM,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机汽机转速
160,BCDC,BC_Fir_1_st1stExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机1#抽汽电动门运行状态
161,BCDC,BC_Fir_1_st2ndExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机2#抽汽电动门运行状态
162,BCDC,BC_Fir_1_st3rdExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机3#抽汽电动门运行状态
163,BCDC,BC_Fir_1_st4thExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机4#抽汽电动门运行状态
164,BCDC,BC_Fir_1_st5thExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机5#抽汽电动门运行状态
165,BCDC,BC_Fir_1_st6thExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机6#抽汽电动门运行状态
166,BCDC,BC_Fir_1_st7thExtrMotVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机7#抽汽电动门运行状态
167,BCDC,BC_Fir_1_stAPhA,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A空预器运行状态
168,BCDC,BC_Fir_1_stAPhAInSAVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A侧空预器进口烟气挡板电动门
169,BCDC,BC_Fir_1_stAPhAOtSAVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机A侧空预器出口空气挡风板电动门
170,BCDC,BC_Fir_1_stAPhB,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B空预器运行状态
171,BCDC,BC_Fir_1_stAPhBInSAVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B侧空预器进口烟气挡板电动门
172,BCDC,BC_Fir_1_stAPhBOtSAVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机B侧空预器出口空气挡风板电动门
173,BCDC,BC_Fir_1_stCirPAInVal,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机循环水泵A进口电动门状态
